train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,val_loss_step,val_is_next_axx_step,val_altered_acc_step,val_loss_epoch,val_is_next_axx_epoch,val_altered_acc_epoch,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch,test_loss_step,test_is_next_axx_step,test_altered_acc_step,test_loss_epoch,test_is_next_axx_epoch,test_altered_acc_epoch
,,,,271,1.113372564315796,62.5,70.2392578125,,,,,,,,,,,,
,,,,272,1.0298272371292114,62.5,59.521484375,,,,,,,,,,,,
,,,,273,1.174384355545044,50.0,62.548828125,,,,,,,,,,,,
,,,,274,1.1373388767242432,62.5,69.2626953125,,,,,,,,,,,,
,,,,275,1.3751304149627686,37.5,57.373046875,,,,,,,,,,,,
,,,,276,1.1501877307891846,50.0,74.0478515625,,,,,,,,,,,,
,,,,277,0.8672148585319519,75.0,63.9892578125,,,,,,,,,,,,
,,,,278,1.3303005695343018,62.5,57.2509765625,,,,,,,,,,,,
,,,,279,1.436651587486267,37.5,73.4619140625,,,,,,,,,,,,
,,,,280,1.4984883069992065,25.0,69.43359375,,,,,,,,,,,,
,,,,281,1.2031257152557373,50.0,61.5234375,,,,,,,,,,,,
,,,,282,1.2716258764266968,50.0,70.60546875,,,,,,,,,,,,
,,,,283,0.8947075605392456,87.5,57.6416015625,,,,,,,,,,,,
,,,,284,1.2530479431152344,62.5,57.2265625,,,,,,,,,,,,
,,,,285,1.068081259727478,75.0,57.6904296875,,,,,,,,,,,,
,,,,286,1.3634059429168701,37.5,57.2265625,,,,,,,,,,,,
,,,,287,1.6857513189315796,25.0,57.1044921875,,,,,,,,,,,,
,,,,288,1.3571178913116455,37.5,70.7763671875,,,,,,,,,,,,
,,,,289,1.2688716650009155,50.0,57.861328125,,,,,,,,,,,,
,,,,290,1.438164234161377,37.5,57.2265625,,,,,,,,,,,,
,,,,291,0.8303247094154358,87.5,73.9501953125,,,,,,,,,,,,
,,,,292,1.4934583902359009,37.5,57.4951171875,,,,,,,,,,,,
,,,,293,1.392237901687622,37.5,57.470703125,,,,,,,,,,,,
,,,,294,1.2605714797973633,50.0,57.2021484375,,,,,,,,,,,,
,,,,295,1.2062469720840454,62.5,57.1044921875,,,,,,,,,,,,
,,,,296,1.580989122390747,25.0,57.177734375,,,,,,,,,,,,
,,,,297,1.3776206970214844,37.5,59.2041015625,,,,,,,,,,,,
,,,,298,1.4040775299072266,37.5,57.7880859375,,,,,,,,,,,,
,,,,299,1.2913880348205566,50.0,61.572265625,,,,,,,,,,,,
,,,,300,1.220759391784668,50.0,57.4462890625,,,,,,,,,,,,
,,,,301,1.1522691249847412,50.0,80.224609375,,,,,,,,,,,,
,,,,302,0.8910499811172485,75.0,57.91015625,,,,,,,,,,,,
,,,,303,1.5487122535705566,25.0,57.5927734375,,,,,,,,,,,,
,,,,304,0.9989941120147705,75.0,57.2998046875,,,,,,,,,,,,
,,,,305,1.0147531032562256,75.0,58.8623046875,,,,,,,,,,,,
,,,,306,1.0714303255081177,62.5,57.373046875,,,,,,,,,,,,
,,,,307,1.5593419075012207,37.5,57.91015625,,,,,,,,,,,,
,,,,308,1.1916816234588623,62.5,63.37890625,,,,,,,,,,,,
,,,,309,1.1702492237091064,62.5,59.3994140625,,,,,,,,,,,,
,,,,310,1.729617953300476,25.0,57.177734375,,,,,,,,,,,,
,,,,311,1.5606333017349243,25.0,59.130859375,,,,,,,,,,,,
,,,,312,0.9833822250366211,75.0,74.365234375,,,,,,,,,,,,
,,,,313,1.0396440029144287,75.0,57.1533203125,,,,,,,,,,,,
,,,,314,1.2128106355667114,62.5,58.6669921875,,,,,,,,,,,,
,,,,315,1.148783564567566,62.5,65.6982421875,,,,,,,,,,,,
